ID,Time_GMT,Phone,Organization,OLF,Rating,NumberReview,Category,Country,CountryCode,State,City,Street,Building,ReviewText
14,01/02/2021 21:28,13345828484.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.5,12,Sports Bar,USA,US,AL,Andalusia, River Falls,1000,Mixed feelings about Zaxby's Chicken Fingers & Buffalo Wings. Standard service. Ordinary place. Fair enough.
15,01/03/2021 01:35,13344278969.0,Arby's,LLC,2.0,5,Drive-Thru,USA,US,AL,Andalusia, 326 Dr Mlk Jr,326,Waste of money at Arby's. Unwelcoming atmosphere. Slow service. One star only!
16,01/03/2021 04:35,13344278969.0,Arby's,LLC,1.0,3,Quick Service,USA,US,AL,Andalusia, 328 W,328,Waste of money at Arby's. Unwelcoming atmosphere. Avoid this place!
17,01/03/2021 08:16,13342225005.0,Tropical Smoothie Cafe,Inc,3.0,3,Breakfast,USA,US,AL,Andalusia, 411 West,411,Okay visit to Tropical Smoothie Cafe. Nothing remarkable about service. Fair enough.
18,01/03/2021 11:16,12567707256.0,Thai One On,Ltd,4.0,92,Chinese,USA,US,AL,Anniston, Noble,911,Loved this Thai One On. Great ambiance. Five stars!
19,01/03/2021 15:07,12562360305.0,House Of Chen,Co,4.0,10,Chinese,USA,US,AL,Anniston, E 43rd,4,Had a wonderful time at House Of Chen. Great ambiance. Amazing dumplings.
20,01/03/2021 19:00,12568319981.0,Jasmine Chinese Thai & Sushi,LLC,4.0,32,Delivery,USA,US,AL,Oxford, Snow,1225,Excellent Jasmine Chinese Thai & Sushi. Outstanding dish. Highly recommend!
21,01/03/2021 21:43,12568483131.0,Marco's Pizza,Co,4.5,3,Casual Dining,USA,US,AL,Anniston, 2485 US Hwy 431,2485,Loved this Marco's Pizza. The meal was delicious. Don't miss this place!
22,01/04/2021 01:38,12568310678.0,Zheng's Garden Chinese Restaurant,LLC,3.5,17,Casual Dining,USA,US,AL,Oxford, 135 Plaza,135,Standard Zheng's Garden Chinese Restaurant. The dish was okay. Average place.
23,01/04/2021 05:02,12568316588.0,J Wok,LLC,3.0,6,Chinese,USA,US,AL,Oxford, 1807 US Hwy 78,1807,Mixed feelings about J Wok. Average fried rice. Might try again.
24,01/04/2021 08:47,12564359940.0,Isshin Asian Cafe,Corp,3.5,10,Chinese,USA,US,AL,Jacksonville, 815 Pelham Rd,815,Standard Isshin Asian Cafe. The spring rolls was okay.
25,01/04/2021 12:28,12568207272.0,Papa John's Pizza,Corp,4.0,3,Pizzeria,USA,US,AL,Anniston, 13 Bill Robison,13,Loved this Papa John's Pizza. Perfect setting. Excellent customer service. Worth every penny!
26,01/04/2021 15:30,12567820106.0,Struts of Jacksonville,Ltd,4.0,29,Casual Dining,USA,US,AL,Jacksonville, 500 Forney Ave,500,Amazing Struts of Jacksonville. Professional staff. Amazing food. Highly recommend!
27,01/04/2021 18:54,12568319033.0,Panda Express,Ltd,3.0,27,Casual Dining,USA,US,AL,Oxford, 20 Commons,20,Mixed feelings about Panda Express. Ordinary place. Nothing to write home about.
28,01/04/2021 22:28,12562373251.0,Pizza Hut,Co,2.5,5,Delivery,USA,US,AL,Anniston, 322 Blue Mountain,322,Disappointed with Pizza Hut. Dirty place.
29,01/05/2021 01:42,12568358102.0,Struts of Oxford,Inc,3.0,38,Delivery,USA,US,AL,Oxford, 88 Ali,88,Average experience at Struts of Oxford. Service was okay. Typical environment. Fair enough.
30,01/05/2021 06:08,12568356725.0,Panera Bread,Corp,3.0,41,Dessert,USA,US,AL,Oxford, 21 Commons,21,Okay visit to Panera Bread. Standard service. Might try again.
31,01/05/2021 08:53,12567820008.0,Effina's Tuscan Grille,LLP,3.5,48,Steakhouse,USA,US,AL,Jacksonville, 501 Pelham Rd,501,Okay visit to Effina's Tuscan Grille. Standard service. Standard setting. Might try again.
32,01/05/2021 12:59,12568314911.0,Olive Garden Italian Restaurant,Ltd,3.5,39,Asian,USA,US,AL,Oxford, 401 Oxford Exchange,401,Okay visit to Olive Garden Italian Restaurant. Standard setting. Might try again.
33,01/05/2021 15:49,12562364333.0,Popeyes Louisiana Kitchen,Inc,3.5,5,Casual Dining,USA,US,AL,Anniston, 1925 Quintard,1925,Standard Popeyes Louisiana Kitchen. Nothing remarkable about service. Nothing to write home about.
34,01/05/2021 19:16,12568206035.0,Arby's,LLC,1.0,3,Fast Food,USA,US,AL,Anniston, 5626 Mcclellan,5626,Waste of money at Arby's. Unprofessional behavior. Save your money!
35,01/05/2021 22:48,12563914715.0,Chicken Salad Chick - Oxford,Inc,4.0,7,Delivery,USA,US,AL,Oxford, 501 Oxford Exchange,501,Had a wonderful time at Chicken Salad Chick - Oxford. Perfect dish.
36,01/06/2021 03:13,12568312615.0,Firehouse Subs,Inc,4.0,7,Deli,USA,US,AL,Oxford, 552 Oxford Exchange,552,Loved this Firehouse Subs. The meal was delicious. Cozy environment. Five stars!
37,01/06/2021 06:35,12568324771.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.5,15,Wings,USA,US,AL,Oxford, 91 Colonial,91,Average experience at Zaxby's Chicken Fingers & Buffalo Wings. Typical environment. Fair enough.
38,01/06/2021 09:18,12562388147.0,Arby's,LLC,2.0,1,Quick Service,USA,US,AL,Anniston, 1817 Quintard,1817,Poor experience at Arby's. Slow service. Overpriced dish. Never coming back!
39,01/06/2021 13:18,12562373132.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,2.5,5,Sports Bar,USA,US,AL,Anniston, 3234 McClellan,3234,Poor experience at Zaxby's Chicken Fingers & Buffalo Wings. meal was cold and tasteless. Poor cleanliness. Save your money!
40,01/06/2021 16:39,12565304100.0,Domino's Pizza,LLC,2.0,4,Italian,USA,US,AL,Anniston, 5130 McClellan,5130,Poor experience at Domino's Pizza. Overpriced risotto.
41,01/06/2021 20:24,12563652001.0,Jimmy John's,Corp,4.5,2,Quick Service,USA,US,AL,Jacksonville, 505 Pelham Rd,505,Great experience at Jimmy John's. Lovely decor. Will definitely return!
42,01/06/2021 23:18,12564357272.0,Papa John's Pizza,Corp,4.5,2,Delivery,USA,US,AL,Jacksonville, 702 South Pelham,702,Really enjoyed Papa John's Pizza. Cozy environment. Great service.
43,01/07/2021 03:23,12568353595.0,Cicis,Inc,2.5,6,Family Dining,USA,US,AL,Oxford, Snow,657,Not impressed by Cicis. Poor customer service.
44,01/07/2021 06:34,12568313926.0,Arby's,LLC,3.0,3,Fast Food,USA,US,AL,Oxford, 1003 Quintard,1003,Average experience at Arby's. Service was okay. Nothing to write home about.
45,01/07/2021 10:38,12568357272.0,Papa John's Pizza,Corp,2.0,4,Casual Dining,USA,US,AL,Oxford, 1225 Snow,1225,Disappointed with Papa John's Pizza. Dirty place. food was cold and tasteless. Look elsewhere!
46,01/07/2021 13:33,12568319854.0,Arby's,LLC,3.0,6,Drive-Thru,USA,US,AL,Oxford, 30 Oxford,30,Average experience at Arby's. Ordinary place. Average food. It's okay.
47,01/07/2021 17:39,12568319696.0,Domino's Pizza,LLC,3.0,11,Delivery,USA,US,AL,Oxford, 1720 Hamric Dr,1720,Okay visit to Domino's Pizza. Standard setting. Nothing to write home about.
48,01/07/2021 21:14,12564358200.0,Domino's Pizza,LLC,3.0,2,Casual Dining,USA,US,AL,Jacksonville, 405 Pelham Rd,405,Decent enough Domino's Pizza. Acceptable service. food was decent. Might try again.
49,01/08/2021 00:45,12564355202.0,Pizza Hut,Co,4.0,1,Delivery,USA,US,AL,Jacksonville, 816 Pelham Rd,816,Fantastic Pizza Hut. dish exceeded expectations. Perfect setting. Five stars!
50,01/08/2021 03:33,12564030346.0,Popeyes Louisiana Kitchen,Inc,3.5,3,Asian,USA,US,AL,Oxford, 123 Colonial,123,Standard Popeyes Louisiana Kitchen. Ordinary place. Fair enough.
51,01/08/2021 06:58,12562337627.0,Village Pizza,LLC,3.5,59,Italian,USA,US,AL,Athens, 222 Market St,222,Mixed feelings about Village Pizza. Service was okay. Ordinary place. It's okay.
52,01/08/2021 10:59,12564444005.0,Ramona Js Resturant,Corp,5.0,6,Casual Dining,USA,US,AL,Athens, 1212 US Hwy 31,1212,Really enjoyed Ramona Js Resturant. Outstanding dish. Great service. Highly recommend!
53,01/08/2021 14:01,12562332299.0,Steak-Out,LLC,2.5,6,Restaurant,USA,US,AL,Athens, 1106 Jefferson St,1106,Poor experience at Steak-Out. The dish was terrible. Unwelcoming atmosphere. Never coming back!
54,01/08/2021 17:22,12568676147.0,Panera Bread,Corp,3.5,5,Cafe,USA,US,AL,Athens, 1323 US Highway 72,1323,Standard Panera Bread. Acceptable service.
55,01/08/2021 21:45,12562169994.0,Bojangles' Famous Chicken and Biscuits,LLC,3.5,15,Casual Dining,USA,US,AL,Athens, 1316 US Highway 72,1316,Decent enough Bojangles' Famous Chicken and Biscuits. Standard service. Ordinary place. It's okay.
56,01/09/2021 01:10,12568001010.0,Marco's Pizza,Co,3.0,7,Casual Dining,USA,US,AL,Athens, 22099 Highway 72,22099,Decent enough Marco's Pizza. Standard dish. Fair enough.
57,01/09/2021 04:24,12569985300.0,Buffalo Wild Wings,LLC,2.5,30,Casual Dining,USA,US,AL,Athens, 22099 Highway 72,22099,Poor experience at Buffalo Wild Wings. Poor customer service. Look elsewhere!
58,01/09/2021 07:50,12562330098.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.5,22,Delivery,USA,US,AL,Athens, 221 French Farms,221,Decent enough Zaxby's Chicken Fingers & Buffalo Wings. Nothing remarkable about service. Fair enough.
59,01/09/2021 11:45,12565623889.0,Panda Express,Ltd,4.0,1,Casual Dining,USA,US,AL,Athens, 22090 US Hwy,22090,Loved this Panda Express. Excellent customer service. The food was delicious.
60,01/09/2021 15:10,12562334700.0,Domino's Pizza,LLC,3.5,7,Italian,USA,US,AL,Athens, 119 US Highway 31,119,Okay visit to Domino's Pizza. Standard tiramisu. Might try again.
61,01/09/2021 18:04,12562323000.0,Papa John's Pizza,Corp,4.5,3,Pizzeria,USA,US,AL,Athens, 916 Us Highway 72,916,Loved this Papa John's Pizza. Staff was friendly. Five stars!
62,01/09/2021 21:24,12562161099.0,Papa Murphy's,Inc,5.0,1,Restaurant,USA,US,AL,Athens, 1001 Hwy 72,1001,Loved this Papa Murphy's. Attentive waiters. Will definitely return!
63,01/10/2021 01:48,12562165556.0,Firehouse Subs,Inc,4.0,5,Quick Service,USA,US,AL,Athens, 935 Hwy,935,Had a wonderful time at Firehouse Subs. Attentive waiters. Don't miss this place!
64,01/10/2021 04:43,12568581600.0,Al Shish Palace,Inc,4.5,56,Delivery,USA,US,AL,Madison, 1591 Hughes,1591,Loved this Al Shish Palace. Lovely decor. Perfect food.
65,01/10/2021 08:45,12564610880.0,Golden China Restaurant,Corp,4.0,32,Delivery,USA,US,AL,Madison, 300 Hughes,300,Great experience at Golden China Restaurant. food exceeded expectations. Professional staff. Highly recommend!
66,01/10/2021 12:04,12564444710.0,Popeyes Louisiana Kitchen,Inc,2.0,7,Delivery,USA,US,AL,Athens, 550 US Hwy 72,550,Not impressed by Popeyes Louisiana Kitchen. Unwelcoming atmosphere.
67,01/10/2021 15:45,12562331223.0,Pizza Hut,Co,3.5,3,Pizzeria,USA,US,AL,Athens, 229 French Farms,229,Okay visit to Pizza Hut. Service was okay. Ordinary place. Average place.
68,01/10/2021 18:38,12567211188.0,China Dragon,Co,4.0,20,Thai,USA,US,AL,Madison, 7190 Wall Triana,7190,Excellent China Dragon. Professional staff. Nice atmosphere. Worth every penny!
69,01/10/2021 22:15,12563028024.0,Mangia Italian Restaurant,Inc,3.5,14,Casual Dining,USA,US,AL,Huntsville, 2288 Zierdt,2288,Average experience at Mangia Italian Restaurant. Nothing special about the dish.
70,01/11/2021 01:43,12563250925.0,Rome2Greece,Corp,4.0,87,Restaurant,USA,US,AL,Madison, 1591 Hughes,1591,Excellent Rome2Greece. Great service. Will definitely return!
71,01/11/2021 05:17,12568642019.0,Marco's Pizza,Co,4.0,31,Italian,USA,US,AL,Madison, 7559 Hwy 72,7559,Loved this Marco's Pizza. Great service. Cozy environment.
72,01/11/2021 09:26,12567212323.0,Hibachi Express,LLC,3.5,30,Casual Dining,USA,US,AL,Madison, 1079 Balch,1079,Mixed feelings about Hibachi Express. Ordinary place. Nothing to write home about.
73,01/11/2021 12:19,12562337507.0,Arby's,LLC,2.0,4,Drive-Thru,USA,US,AL,Athens, 600 US Hwy 72,600,Poor experience at Arby's. Poor customer service. Unwelcoming atmosphere.
74,01/11/2021 15:34,12568908873.0,Panda Express,Ltd,2.5,38,Asian,USA,US,AL,Madison, 8598 Hwy 72,8598,Terrible visit to Panda Express. Awful rice. One star only!
75,01/11/2021 19:31,12567720990.0,New China Restaurant,LLP,3.0,28,Casual Dining,USA,US,AL,Madison, 8580 Madison,8580,Mixed feelings about New China Restaurant. Standard setting. Fair enough.
76,01/11/2021 22:36,12563251633.0,Champy's Chicken,LLC,4.0,89,Family Dining,USA,US,AL,Madison, 8020 Madison,8020,Really enjoyed Champy's Chicken. Attentive waiters. Nice atmosphere.
77,01/12/2021 02:52,12568308358.0,Earth and Stone Wood Fired Pizza,Sole Proprietorship,3.5,24,Casual Dining,USA,US,AL,Madison, B 107 A Brookridge,B,Standard Earth and Stone Wood Fired Pizza. Nothing special about the meal.
78,01/12/2021 06:15,12567729888.0,Sam & Greg's Pizzeria & Gelateria,Inc,4.0,104,Casual Dining,USA,US,AL,Madison, 364 Hughes,364,Fantastic Sam & Greg's Pizzeria & Gelateria. Perfect setting. Highly recommend!
79,01/12/2021 09:34,12563251054.0,Marco's Pizza,Co,3.5,30,Casual Dining,USA,US,AL,Madison, 11156 County Line,11156,Standard Marco's Pizza. Standard setting.
80,01/12/2021 13:19,12568649997.0,Jimmy John's,Corp,3.5,29,Delivery,USA,US,AL,Madison, 7690 Hwy 72,7690,Okay visit to Jimmy John's. Nothing remarkable about service. Standard setting. Fair enough.
81,01/12/2021 16:39,12569639444.0,Big Shake's Hot Chicken and Fish,Corp,4.0,134,Casual Dining,USA,US,AL,Huntsville, 671 Martin Rd,671,Loved this Big Shake's Hot Chicken and Fish. Lovely decor. Professional staff. Highly recommend!
82,01/12/2021 20:26,12569704441.0,MOD Pizza,Partnership,4.0,42,Delivery,USA,US,AL,Madison, 7616 Hwy 72,7616,Really enjoyed MOD Pizza. food exceeded expectations. Five stars!
83,01/12/2021 23:59,12563251575.0,Teriyaki Madness,LLC,3.0,31,Delivery,USA,US,AL,Madison, 7709 Hwy 72,7709,Mixed feelings about Teriyaki Madness. Standard meal. Fair enough.
84,01/13/2021 02:55,12569704330.0,Tropical Smoothie Cafe,Inc,3.5,18,Brunch,USA,US,AL,Madison, 1079 Balch,1079,Average experience at Tropical Smoothie Cafe. Typical environment. Average dish. Might try again.
85,01/13/2021 06:48,12562580880.0,Bruegger's Bagels,Inc,3.0,30,Restaurant,USA,US,AL,Madison, 347 Hughes,347,Average experience at Bruegger's Bagels. Average staff. Average food. Might try again.
86,01/13/2021 10:22,12568019463.0,Cork & Crust Pizzeria & Wine Bar,Corp,3.5,102,Delivery,USA,US,AL,Madison, 12120 County Line,12120,Decent enough Cork & Crust Pizzeria & Wine Bar. Nothing remarkable about service. Typical environment.
87,01/13/2021 13:03,12569702727.0,Domino's,LLC,3.5,8,Pizzeria,USA,US,AL,Toney,7642,7642,Average experience at Domino's. Standard setting. Nothing special about the dish. It's okay.
88,01/13/2021 16:49,12564149961.0,Chicken Salad Chick,Inc,3.5,28,Family Dining,USA,US,AL,Madison, 7709 Highway 72,7709,Standard Chicken Salad Chick. Standard dish. Typical environment.
89,01/13/2021 21:02,12567217831.0,Panera Bread,Corp,3.0,50,Bakery,USA,US,AL,Madison, 8179 Highway 72,8179,Average experience at Panera Bread. Standard food. Average atmosphere. Average place.
90,01/13/2021 23:58,12568301964.0,KFC,Inc,2.5,15,Fast Food,USA,US,AL,Madison, 7874 Highway 72,7874,Poor experience at KFC. Dirty place. Never coming back!
91,01/14/2021 03:08,12563250231.0,Firehouse Subs,Inc,3.0,20,Deli,USA,US,AL,Huntsville, 1079 Balch,1079,Okay visit to Firehouse Subs. Nothing special about the dish. Might try again.
92,01/14/2021 07:03,12567726789.0,Donatos Pizza,Corp,3.5,25,Delivery,USA,US,AL,Madison, 8000 Madison,8000,Average experience at Donatos Pizza. Service was okay. Nothing special about ambiance. Fair enough.
93,01/14/2021 10:56,12567748181.0,Apple Lane - Madison,PC,3.5,17,Delivery,USA,US,AL,Madison, 8580 Madison,8580,Mixed feelings about Apple Lane - Madison. Nothing remarkable about service. Nothing to write home about.
94,01/14/2021 13:41,12564645300.0,Schlotzsky's,LLC,3.5,19,Restaurant,USA,US,AL,Madison, 8969 Highway,8969,Average experience at Schlotzsky's. Nothing special about the meal. Average staff. Fair enough.
95,01/14/2021 17:41,12568642303.0,Arbys,Inc,3.5,15,Drive-Thru,USA,US,AL,Madison, 7785 Highway 72,7785,Mixed feelings about Arbys. Standard setting.
96,01/14/2021 21:25,12567225565.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.0,19,Casual Dining,USA,US,AL,Madison, 8586 Highway 72,8586,Mixed feelings about Zaxby's Chicken Fingers & Buffalo Wings. Acceptable service. Standard setting. Average place.
97,01/15/2021 00:43,12567748028.0,Firehouse Subs,Inc,3.5,12,Sandwich Shop,USA,US,AL,Madison, 8572 Madison,8572,Average experience at Firehouse Subs. Service was okay. Standard food. Might try again.
98,01/15/2021 04:14,12567729000.0,Domino's Pizza,LLC,2.5,11,Casual Dining,USA,US,AL,Madison, 437 Hughes,437,Poor experience at Domino's Pizza. Inedible meal. Never coming back!
99,01/15/2021 08:05,12563251042.0,Jersey Mike's Subs,LLC,3.5,12,Sandwich Shop,USA,US,AL,Madison, 8000 Madison,8000,Okay visit to Jersey Mike's Subs. Ordinary place. Acceptable service. Fair enough.
100,01/15/2021 11:36,12567728897.0,Pizza Hut,Co,2.0,18,Delivery,USA,US,AL,Madison, 8830 Madison,8830,Disappointed with Pizza Hut. Awful dish. Unprofessional behavior.
101,01/15/2021 15:04,12564610026.0,Zaxby's Chicken Fingers & Buffalo Wings,Inc,3.5,13,Sports Bar,USA,US,AL,Madison, 100 Ivory,100,Mixed feelings about Zaxby's Chicken Fingers & Buffalo Wings. Average meal. Nothing remarkable about service. It's okay.
102,01/15/2021 18:25,12567215527.0,Subway,LLC,4.5,3,Drive-Thru,USA,US,AL,Madison, 8580 Highway 72,8580,Amazing Subway. Outstanding meal. Highly recommend!
103,01/15/2021 21:23,12564643600.0,Papa Murphy's,Inc,3.0,4,Casual Dining,USA,US,AL,Madison, 4577 Wall Triana,4577,Decent enough Papa Murphy's. Average atmosphere. Average place.
104,01/16/2021 01:35,12568308333.0,Domino's Pizza,LLC,2.0,4,Casual Dining,USA,US,AL,Madison, 8800 Highway 72,8800,Waste of money at Domino's Pizza. Inedible food. Noisy environment. One star only!
105,01/16/2021 04:47,12567727010.0,KFC,Inc,2.0,11,Quick Service,USA,US,AL,Madison, 8966 Madison,8966,Waste of money at KFC. Slow service. Never coming back!
106,01/16/2021 08:17,12564643303.0,McAlister's Deli,Corp,1.5,39,Deli,USA,US,AL,Huntsville, 1000 Glenn Hearn,1000,Poor experience at McAlister's Deli. The dish was terrible. Look elsewhere!
107,01/16/2021 11:45,12564647299.0,Subway,LLC,2.5,7,Fast Food,USA,US,AL,Huntsville, 671 Martin,671,Waste of money at Subway. combo meal was cold and tasteless. One star only!
108,01/16/2021 15:06,12567723111.0,Papa John's Pizza,Corp,2.0,12,Delivery,USA,US,AL,Madison, 12100 County Line,12100,Terrible visit to Papa John's Pizza. Poor customer service.
109,01/16/2021 18:37,12567215640.0,Pizza Hut,Co,1.5,10,Italian,USA,US,AL,Madison, 7950 Highway 72,7950,Disappointed with Pizza Hut. pasta was cold and tasteless. Never coming back!
110,01/16/2021 21:58,12567727465.0,Arby's,LLC,3.0,7,Quick Service,USA,US,AL,Madison, 8817 Madison,8817,Decent enough Arby's. Nothing remarkable about service.
111,01/17/2021 01:59,12513685646.0,Pizza Hut,Co,3.0,5,Casual Dining,USA,US,AL,Atmore, S Main,1515,Standard Pizza Hut. Ordinary place. Service was okay. Might try again.
112,01/17/2021 05:30,18509948828.0,Chopstick,LLC,3.5,18,Casual Dining,USA,US,FL,Pace, 5646 Woodbine,5646,Standard Chopstick. Nothing remarkable about service. Typical environment.
113,01/17/2021 08:49,12518674664.0,Arby's,LLC,5.0,1,Drive-Thru,USA,US,AL,Brewton, 380 South,380,Really enjoyed Arby's. Great service. Five stars!
114,01/17/2021 12:32,18505725917.0,Kazoku Restaurant,Inc,3.5,245,Delivery,USA,US,FL,Pensacola, 119 E 9 Mile,119,Average experience at Kazoku Restaurant. Nothing special about the meal. Standard setting. Average place.
115,01/17/2021 15:39,12519377072.0,Arby's,LLC,3.5,4,Quick Service,USA,US,AL,Bay Minette, 620 McMeans,620,Average experience at Arby's. Nothing special about the food. Nothing special about ambiance. Average place.
116,01/17/2021 19:18,12518677777.0,Pizza Hut,Co,1.5,7,Casual Dining,USA,US,AL,Brewton, 590 South,590,Poor experience at Pizza Hut. The food was terrible. Never coming back!
117,01/17/2021 22:45,18505424316.0,Thai Rice,Corp,4.5,9,Asian,USA,US,FL,Pensacola, 7175 N Davis,7175,Loved this Thai Rice. Great service. Great ambiance. Will definitely return!
118,01/18/2021 02:36,18508579592.0,Mr.Chen,Inc,3.5,85,Delivery,USA,US,FL,Pensacola, 6705 Pine Forest,6705,Okay visit to Mr.Chen. Ordinary place. Might try again.
119,01/18/2021 05:31,12519376714.0,Pizza Hut,Co,3.0,7,Italian,USA,US,AL,Bay Minette, 604 Mcmeans,604,Decent enough Pizza Hut. Standard setting. Service was okay. Average place.
120,01/18/2021 09:39,12514570066.0,Shipyard Cafe,LLC,4.0,17,Delivery,USA,US,AL,Chickasaw, 101 Telegraph,101,Had a wonderful time at Shipyard Cafe. Great ambiance. Attentive waiters. Will definitely return!
121,01/18/2021 13:13,12516213911.0,Mellow Mushroom Daphne,LLC,4.0,80,Delivery,USA,US,AL,Daphne, 29698 Frederick,29698,Excellent Mellow Mushroom Daphne. dish exceeded expectations. Great service.
122,01/18/2021 16:24,12519642099.0,Arby's,LLC,4.0,8,Quick Service,USA,US,AL,Loxley, 126 E Flying K,126,Loved this Arby's. Perfect setting. Outstanding dish.
123,01/18/2021 19:23,12516791828.0,China Chef Restaurant,LLC,3.5,11,Chinese,USA,US,AL,Saraland, 118 Saraland,118,Average experience at China Chef Restaurant. Service was okay. Standard dumplings.
124,01/18/2021 22:50,12516218501.0,Dragon City,LLC,3.5,39,Restaurant,USA,US,AL,Daphne, 2101 US Hwy,2101,Okay visit to Dragon City. Average atmosphere. Average place.
125,01/19/2021 02:18,12518090002.0,Pizza Pro,Co,2.5,3,Casual Dining,USA,US,AL,Brewton, 1622 Douglas,1622,Terrible visit to Pizza Pro. Noisy environment. The food was terrible. One star only!
126,01/19/2021 06:45,18505641465.0,Boomerang Pizza,PC,4.0,109,Italian,USA,US,FL,Milton, Willing,5227,Excellent Boomerang Pizza. Cozy environment.
127,01/19/2021 10:18,12513751644.0,Pizzeria Delphina,Inc,4.0,203,Delivery,USA,US,AL,Mobile, Dauphin,107,Excellent Pizzeria Delphina. Perfect setting. Highly recommend!
128,01/19/2021 13:36,18509370666.0,China Delight,LLC,3.5,12,Casual Dining,USA,US,FL,Cantonment, 742 N Hwy,742,Mixed feelings about China Delight. Ordinary place. The food was okay. Fair enough.
129,01/19/2021 17:19,12515752088.0,Pizza Hut,Co,2.0,3,Italian,USA,US,AL,Monroeville, 2060 S Hwy 21,2060,Disappointed with Pizza Hut. Uncomfortable setting. Avoid this place!
130,01/19/2021 20:31,12519900995.0,Gambino's Italian Grill,Co,4.5,305,BBQ,USA,US,AL,Fairhope, 18 Laurel,18,Amazing Gambino's Italian Grill. Perfect setting. Worth every penny!
131,01/19/2021 23:42,18509820200.0,Buffalo Junction,LLC,3.5,31,Wings,USA,US,FL,Pace,5070,5070,Standard Buffalo Junction. Nothing special about the sauce. Average atmosphere. It's okay.
132,01/20/2021 03:46,18509940014.0,Santino's Pizza & Grinders,LLC,3.5,22,Delivery,USA,US,FL,Pace, 5653 Woodbine,5653,Okay visit to Santino's Pizza & Grinders. Average staff. Average place.
133,01/20/2021 06:44,18506239009.0,Jin Jin Chinese Restaurant,Inc,3.0,17,Delivery,USA,US,FL,Milton, 6209 Hwy,6209,Standard Jin Jin Chinese Restaurant. Average atmosphere. Might try again.
134,01/20/2021 09:53,18504774424.0,Sky's Pizza Pie,Inc,4.5,313,Italian,USA,US,FL,Pensacola, 5559 N Davis,5559,Great experience at Sky's Pizza Pie. Great service. Five stars!
135,01/20/2021 14:01,12516256550.0,Marco's Pizza,Co,4.5,20,Italian,USA,US,AL,Daphne, 2004 US Hwy,2004,Excellent Marco's Pizza. Excellent customer service.
